path,participant_id,sequence_id,sign
train_landmark_files/53618/1154105146.parquet,53618,1154105146,please
train_landmark_files/34503/1154256751.parquet,34503,1154256751,sad
train_landmark_files/37055/11548231.parquet,37055,11548231,happy
train_landmark_files/34503/1158744762.parquet,34503,1158744762,dad
train_landmark_files/4718/1161474237.parquet,4718,1161474237,sad
train_landmark_files/49445/1162131032.parquet,49445,1162131032,later
train_landmark_files/25571/1163294345.parquet,25571,1163294345,no
train_landmark_files/26734/116389034.parquet,26734,116389034,thankyou
train_landmark_files/30680/1164782714.parquet,30680,1164782714,please
train_landmark_files/28656/1165929598.parquet,28656,1165929598,sad
train_landmark_files/37779/1168261937.parquet,37779,1168261937,happy
train_landmark_files/25571/1168446963.parquet,25571,1168446963,thankyou
train_landmark_files/36257/1171299665.parquet,36257,1171299665,hello
train_landmark_files/26734/117290156.parquet,26734,117290156,please
train_landmark_files/37779/1174259150.parquet,37779,1174259150,happy
train_landmark_files/28656/1175052774.parquet,28656,1175052774,please
train_landmark_files/37779/117531400.parquet,37779,117531400,later
train_landmark_files/18796/1175609966.parquet,18796,1175609966,mom
train_landmark_files/49445/117616962.parquet,49445,117616962,later
train_landmark_files/22343/1176840747.parquet,22343,1176840747,thankyou
train_landmark_files/36257/1177333617.parquet,36257,1177333617,no
train_landmark_files/55372/1178830613.parquet,55372,1178830613,thankyou
train_landmark_files/53618/1179185577.parquet,53618,1179185577,hello
train_landmark_files/4718/1179398854.parquet,4718,1179398854,please
train_landmark_files/25571/1180415897.parquet,25571,1180415897,happy
train_landmark_files/16069/1180445235.parquet,16069,1180445235,please
train_landmark_files/30680/1185154615.parquet,30680,1185154615,mom
train_landmark_files/36257/1188141505.parquet,36257,1188141505,mom
train_landmark_files/4718/1190051959.parquet,4718,1190051959,happy
train_landmark_files/61333/1191396340.parquet,61333,1191396340,please
train_landmark_files/62590/11931083.parquet,62590,11931083,later
train_landmark_files/27610/1196236622.parquet,27610,1196236622,no
train_landmark_files/27610/119632829.parquet,27610,119632829,mom
train_landmark_files/55372/1197341368.parquet,55372,1197341368,dad
train_landmark_files/25571/1197563690.parquet,25571,1197563690,hello
train_landmark_files/37055/1197911010.parquet,37055,1197911010,hello
train_landmark_files/29302/1197960688.parquet,29302,1197960688,dad
train_landmark_files/18796/1198399449.parquet,18796,1198399449,later
train_landmark_files/18796/1199742283.parquet,18796,1199742283,please
train_landmark_files/53618/1201242827.parquet,53618,1201242827,dad
train_landmark_files/18796/1203279154.parquet,18796,1203279154,no
train_landmark_files/55372/1205657909.parquet,55372,1205657909,please
train_landmark_files/22343/120633856.parquet,22343,120633856,later
train_landmark_files/37055/1206444536.parquet,37055,1206444536,please
train_landmark_files/30680/1206960983.parquet,30680,1206960983,mom
train_landmark_files/22343/1210283400.parquet,22343,1210283400,yes
train_landmark_files/36257/1211399781.parquet,36257,1211399781,thankyou
train_landmark_files/34503/1213328773.parquet,34503,1213328773,happy
train_landmark_files/25571/1213907260.parquet,25571,1213907260,yes
train_landmark_files/28656/1214372811.parquet,28656,1214372811,mom
train_landmark_files/18796/1214980395.parquet,18796,1214980395,mom
train_landmark_files/27610/1215859538.parquet,27610,1215859538,dad
train_landmark_files/16069/1216540971.parquet,16069,1216540971,hello
train_landmark_files/32319/1218359982.parquet,32319,1218359982,hello
train_landmark_files/37779/1218402771.parquet,37779,1218402771,please
train_landmark_files/37779/1219255398.parquet,37779,1219255398,happy
train_landmark_files/36257/1220392078.parquet,36257,1220392078,happy
train_landmark_files/22343/1221521815.parquet,22343,1221521815,dad
train_landmark_files/37055/12231949.parquet,37055,12231949,sad
train_landmark_files/16069/1223616527.parquet,16069,1223616527,please
train_landmark_files/62590/1223789717.parquet,62590,1223789717,yes
train_landmark_files/2044/1226471603.parquet,2044,1226471603,happy
train_landmark_files/16069/1228205252.parquet,16069,1228205252,happy
train_landmark_files/53618/1228467675.parquet,53618,1228467675,later
train_landmark_files/36257/1228680718.parquet,36257,1228680718,yes
train_landmark_files/37779/1228842092.parquet,37779,1228842092,yes
train_landmark_files/26734/1230225865.parquet,26734,1230225865,mom
train_landmark_files/49445/123310956.parquet,49445,123310956,mom
train_landmark_files/37055/1233585896.parquet,37055,1233585896,dad
train_landmark_files/16069/12342492.parquet,16069,12342492,dad
train_landmark_files/27610/123506845.parquet,27610,123506845,mom
train_landmark_files/18796/1235195543.parquet,18796,1235195543,thankyou
train_landmark_files/32319/1235523249.parquet,32319,1235523249,hello
train_landmark_files/22343/1236094193.parquet,22343,1236094193,sad
train_landmark_files/22343/1236155376.parquet,22343,1236155376,dad
train_landmark_files/27610/1236339413.parquet,27610,1236339413,later
train_landmark_files/29302/1238303861.parquet,29302,1238303861,dad
train_landmark_files/36257/1239456755.parquet,36257,1239456755,please
train_landmark_files/36257/1240774533.parquet,36257,1240774533,mom
train_landmark_files/36257/1242216172.parquet,36257,1242216172,thankyou
train_landmark_files/18796/1242918125.parquet,18796,1242918125,yes
train_landmark_files/30680/1243220622.parquet,30680,1243220622,yes
train_landmark_files/37055/1245527814.parquet,37055,1245527814,thankyou
train_landmark_files/22343/1246047068.parquet,22343,1246047068,hello
train_landmark_files/62590/1246186422.parquet,62590,1246186422,thankyou
train_landmark_files/37055/1246985143.parquet,37055,1246985143,sad
train_landmark_files/37779/1247158169.parquet,37779,1247158169,happy
train_landmark_files/53618/1250892121.parquet,53618,1250892121,hello
train_landmark_files/4718/1254103836.parquet,4718,1254103836,sad
train_landmark_files/37055/1254121251.parquet,37055,1254121251,yes
train_landmark_files/62590/1256465520.parquet,62590,1256465520,later
train_landmark_files/29302/1256754757.parquet,29302,1256754757,mom
train_landmark_files/16069/1257339826.parquet,16069,1257339826,happy
train_landmark_files/27610/1257541551.parquet,27610,1257541551,thankyou
train_landmark_files/53618/1258452208.parquet,53618,1258452208,please
train_landmark_files/27610/1259455401.parquet,27610,1259455401,dad
train_landmark_files/22343/1261060748.parquet,22343,1261060748,thankyou
train_landmark_files/2044/1261598499.parquet,2044,1261598499,happy
train_landmark_files/27610/1264287948.parquet,27610,1264287948,please
train_landmark_files/62590/1264702889.parquet,62590,1264702889,please
train_landmark_files/49445/1265652469.parquet,49445,1265652469,hello
train_landmark_files/53618/1266107520.parquet,53618,1266107520,yes
train_landmark_files/26734/1266233987.parquet,26734,1266233987,no
train_landmark_files/2044/1266427503.parquet,2044,1266427503,happy
train_landmark_files/62590/1267468677.parquet,62590,1267468677,sad
train_landmark_files/29302/1269846443.parquet,29302,1269846443,later
train_landmark_files/37779/1272778561.parquet,37779,1272778561,mom
train_landmark_files/30680/127318541.parquet,30680,127318541,yes
train_landmark_files/37779/1273417557.parquet,37779,1273417557,dad
train_landmark_files/37055/1273537154.parquet,37055,1273537154,sad
train_landmark_files/34503/1277039627.parquet,34503,1277039627,sad
train_landmark_files/32319/1278444041.parquet,32319,1278444041,later
train_landmark_files/30680/1278557069.parquet,30680,1278557069,mom
train_landmark_files/22343/1278617852.parquet,22343,1278617852,yes
train_landmark_files/49445/1279628654.parquet,49445,1279628654,thankyou
train_landmark_files/29302/1281997804.parquet,29302,1281997804,happy
train_landmark_files/55372/1282056870.parquet,55372,1282056870,sad
train_landmark_files/62590/1282544340.parquet,62590,1282544340,sad
train_landmark_files/62590/1287020325.parquet,62590,1287020325,sad
train_landmark_files/37055/1287249240.parquet,37055,1287249240,later
train_landmark_files/25571/128862439.parquet,25571,128862439,mom
train_landmark_files/25571/1288689401.parquet,25571,1288689401,yes
train_landmark_files/61333/1289425468.parquet,61333,1289425468,yes
train_landmark_files/55372/1289700888.parquet,55372,1289700888,hello
train_landmark_files/53618/1291260882.parquet,53618,1291260882,hello
train_landmark_files/49445/12916296.parquet,49445,12916296,hello
train_landmark_files/30680/1293252124.parquet,30680,1293252124,happy
train_landmark_files/18796/1294871892.parquet,18796,1294871892,hello
train_landmark_files/22343/1295308160.parquet,22343,1295308160,later
train_landmark_files/22343/1295646920.parquet,22343,1295646920,later
train_landmark_files/16069/1296861466.parquet,16069,1296861466,thankyou
train_landmark_files/62590/1297132691.parquet,62590,1297132691,thankyou
train_landmark_files/37779/1298797455.parquet,37779,1298797455,thankyou
train_landmark_files/53618/1300062366.parquet,53618,1300062366,please
train_landmark_files/4718/1300303785.parquet,4718,1300303785,sad
train_landmark_files/49445/1301102179.parquet,49445,1301102179,mom
train_landmark_files/4718/1301821597.parquet,4718,1301821597,later
train_landmark_files/49445/1302861337.parquet,49445,1302861337,sad
train_landmark_files/55372/1305211550.parquet,55372,1305211550,hello
train_landmark_files/4718/1307075830.parquet,4718,1307075830,mom
train_landmark_files/37779/1307755053.parquet,37779,1307755053,please
train_landmark_files/53618/1308603423.parquet,53618,1308603423,hello
train_landmark_files/36257/130948015.parquet,36257,130948015,sad
train_landmark_files/36257/1310843709.parquet,36257,1310843709,yes
train_landmark_files/37779/1311187924.parquet,37779,1311187924,yes
train_landmark_files/27610/1312621868.parquet,27610,1312621868,please
train_landmark_files/29302/1316152009.parquet,29302,1316152009,no
train_landmark_files/53618/1316684744.parquet,53618,1316684744,yes
train_landmark_files/53618/1316733957.parquet,53618,1316733957,sad
train_landmark_files/22343/1316920629.parquet,22343,1316920629,dad
train_landmark_files/4718/1318641538.parquet,4718,1318641538,yes
train_landmark_files/27610/1320574766.parquet,27610,1320574766,later
train_landmark_files/34503/1320789535.parquet,34503,1320789535,later
train_landmark_files/37779/1322838544.parquet,37779,1322838544,hello
train_landmark_files/32319/1323705640.parquet,32319,1323705640,yes
train_landmark_files/34503/1324627670.parquet,34503,1324627670,dad
train_landmark_files/61333/1325817786.parquet,61333,1325817786,happy
train_landmark_files/25571/1327272203.parquet,25571,1327272203,mom
train_landmark_files/25571/1328294262.parquet,25571,1328294262,later
train_landmark_files/16069/1328502854.parquet,16069,1328502854,mom
train_landmark_files/34503/1328642817.parquet,34503,1328642817,no
train_landmark_files/61333/1329181950.parquet,61333,1329181950,no
train_landmark_files/55372/1329375638.parquet,55372,1329375638,yes
train_landmark_files/55372/1329568872.parquet,55372,1329568872,sad
train_landmark_files/4718/1330949181.parquet,4718,1330949181,hello
train_landmark_files/36257/133129570.parquet,36257,133129570,thankyou
train_landmark_files/49445/1332019761.parquet,49445,1332019761,later
train_landmark_files/32319/1332466963.parquet,32319,1332466963,no
train_landmark_files/2044/1332529031.parquet,2044,1332529031,no
train_landmark_files/16069/1332685049.parquet,16069,1332685049,later
train_landmark_files/26734/1333240458.parquet,26734,1333240458,sad
train_landmark_files/30680/1335315034.parquet,30680,1335315034,thankyou
train_landmark_files/22343/1335562912.parquet,22343,1335562912,mom
train_landmark_files/30680/1336792973.parquet,30680,1336792973,happy
train_landmark_files/61333/1337080092.parquet,61333,1337080092,dad
train_landmark_files/36257/1337847030.parquet,36257,1337847030,no
train_landmark_files/4718/1339088376.parquet,4718,1339088376,thankyou
train_landmark_files/49445/1339178523.parquet,49445,1339178523,yes
train_landmark_files/18796/133931535.parquet,18796,133931535,hello
train_landmark_files/16069/133977686.parquet,16069,133977686,yes
train_landmark_files/61333/1340046810.parquet,61333,1340046810,sad
train_landmark_files/36257/1340171863.parquet,36257,1340171863,sad
train_landmark_files/22343/1340265045.parquet,22343,1340265045,hello
train_landmark_files/49445/1340773756.parquet,49445,1340773756,hello
train_landmark_files/2044/1341879710.parquet,2044,1341879710,happy
train_landmark_files/2044/1342120105.parquet,2044,1342120105,please
train_landmark_files/2044/1342281740.parquet,2044,1342281740,thankyou
train_landmark_files/62590/134288068.parquet,62590,134288068,no
train_landmark_files/25571/1343046754.parquet,25571,1343046754,please
train_landmark_files/49445/1343767212.parquet,49445,1343767212,later
train_landmark_files/37055/1343804481.parquet,37055,1343804481,please
train_landmark_files/26734/134538440.parquet,26734,134538440,thankyou
train_landmark_files/36257/1347095359.parquet,36257,1347095359,thankyou
train_landmark_files/61333/1347972268.parquet,61333,1347972268,mom
train_landmark_files/4718/1348256760.parquet,4718,1348256760,please
train_landmark_files/37779/1348881118.parquet,37779,1348881118,thankyou
train_landmark_files/49445/1350511711.parquet,49445,1350511711,later
train_landmark_files/37779/1350980287.parquet,37779,1350980287,later
train_landmark_files/36257/1351898007.parquet,36257,1351898007,mom
train_landmark_files/55372/1353435564.parquet,55372,1353435564,dad
train_landmark_files/25571/135358695.parquet,25571,135358695,thankyou
train_landmark_files/4718/1353673683.parquet,4718,1353673683,yes
train_landmark_files/55372/1354041920.parquet,55372,1354041920,sad
train_landmark_files/34503/1355463996.parquet,34503,1355463996,yes
train_landmark_files/26734/1356359070.parquet,26734,1356359070,yes
train_landmark_files/26734/1356512131.parquet,26734,1356512131,no
train_landmark_files/27610/1356957694.parquet,27610,1356957694,hello
train_landmark_files/16069/1358040336.parquet,16069,1358040336,hello
train_landmark_files/30680/1358482506.parquet,30680,1358482506,happy
train_landmark_files/16069/1359495432.parquet,16069,1359495432,dad
train_landmark_files/32319/1359987058.parquet,32319,1359987058,yes
train_landmark_files/2044/1360046839.parquet,2044,1360046839,no
train_landmark_files/30680/1362640381.parquet,30680,1362640381,thankyou
train_landmark_files/2044/1363347947.parquet,2044,1363347947,happy
train_landmark_files/2044/1363780437.parquet,2044,1363780437,hello
train_landmark_files/29302/1363932407.parquet,29302,1363932407,hello
train_landmark_files/25571/1365958399.parquet,25571,1365958399,no
train_landmark_files/53618/1366344116.parquet,53618,1366344116,thankyou
train_landmark_files/2044/1366610599.parquet,2044,1366610599,yes
train_landmark_files/36257/1367471805.parquet,36257,1367471805,no
train_landmark_files/62590/1367875859.parquet,62590,1367875859,later
train_landmark_files/22343/1368201417.parquet,22343,1368201417,sad
train_landmark_files/27610/136823713.parquet,27610,136823713,please
train_landmark_files/2044/13689786.parquet,2044,13689786,yes
train_landmark_files/62590/1369386627.parquet,62590,1369386627,mom
train_landmark_files/16069/1369463557.parquet,16069,1369463557,no
train_landmark_files/53618/1371564017.parquet,53618,1371564017,hello
train_landmark_files/49445/1371658606.parquet,49445,1371658606,sad
train_landmark_files/28656/1371662967.parquet,28656,1371662967,dad
train_landmark_files/37779/1373202235.parquet,37779,1373202235,thankyou
train_landmark_files/2044/1373551901.parquet,2044,1373551901,sad
train_landmark_files/28656/1373677487.parquet,28656,1373677487,happy
train_landmark_files/49445/1374019940.parquet,49445,1374019940,mom
train_landmark_files/30680/1374483391.parquet,30680,1374483391,please
train_landmark_files/27610/1375215806.parquet,27610,1375215806,hello
train_landmark_files/55372/1375299561.parquet,55372,1375299561,please
train_landmark_files/18796/1375443107.parquet,18796,1375443107,no
train_landmark_files/22343/1376389559.parquet,22343,1376389559,hello
train_landmark_files/32319/1376817165.parquet,32319,1376817165,sad
train_landmark_files/26734/137691188.parquet,26734,137691188,mom
train_landmark_files/25571/1378123650.parquet,25571,1378123650,later
train_landmark_files/29302/137824330.parquet,29302,137824330,sad
train_landmark_files/37055/1379014477.parquet,37055,1379014477,happy
train_landmark_files/32319/1380512093.parquet,32319,1380512093,yes
train_landmark_files/22343/1380709787.parquet,22343,1380709787,please
train_landmark_files/34503/1380751820.parquet,34503,1380751820,thankyou
train_landmark_files/34503/1383069786.parquet,34503,1383069786,hello
train_landmark_files/62590/1383098928.parquet,62590,1383098928,please
train_landmark_files/55372/1383360944.parquet,55372,1383360944,thankyou
train_landmark_files/36257/1383732621.parquet,36257,1383732621,mom
train_landmark_files/29302/138653515.parquet,29302,138653515,happy
train_landmark_files/36257/1386723107.parquet,36257,1386723107,sad
train_landmark_files/49445/1386987150.parquet,49445,1386987150,happy
train_landmark_files/2044/1387751321.parquet,2044,1387751321,please
train_landmark_files/61333/138929023.parquet,61333,138929023,please
train_landmark_files/2044/1389923727.parquet,2044,1389923727,please
train_landmark_files/27610/1389960835.parquet,27610,1389960835,dad
train_landmark_files/37779/1391889598.parquet,37779,1391889598,thankyou
train_landmark_files/32319/1393792885.parquet,32319,1393792885,mom
train_landmark_files/27610/1394774691.parquet,27610,1394774691,happy
train_landmark_files/55372/1395270268.parquet,55372,1395270268,thankyou
train_landmark_files/36257/139608752.parquet,36257,139608752,please
train_landmark_files/18796/1398703655.parquet,18796,1398703655,yes
train_landmark_files/22343/1399292857.parquet,22343,1399292857,happy
train_landmark_files/49445/1400995642.parquet,49445,1400995642,please
train_landmark_files/62590/1401593818.parquet,62590,1401593818,sad
train_landmark_files/49445/1401897266.parquet,49445,1401897266,dad
train_landmark_files/32319/1402543336.parquet,32319,1402543336,hello
train_landmark_files/28656/1404687207.parquet,28656,1404687207,mom
train_landmark_files/4718/1404877424.parquet,4718,1404877424,later
train_landmark_files/62590/1405085916.parquet,62590,1405085916,happy
train_landmark_files/28656/1408082203.parquet,28656,1408082203,please
train_landmark_files/32319/1408128483.parquet,32319,1408128483,dad
train_landmark_files/29302/1408774761.parquet,29302,1408774761,mom
train_landmark_files/61333/1409505367.parquet,61333,1409505367,please
train_landmark_files/18796/1412998805.parquet,18796,1412998805,happy
train_landmark_files/28656/1415571862.parquet,28656,1415571862,sad
train_landmark_files/53618/1416681109.parquet,53618,1416681109,happy
train_landmark_files/37779/1416932162.parquet,37779,1416932162,dad
train_landmark_files/16069/1418615428.parquet,16069,1418615428,mom
train_landmark_files/2044/1419154249.parquet,2044,1419154249,sad
train_landmark_files/36257/1419535517.parquet,36257,1419535517,later
train_landmark_files/37055/1420493953.parquet,37055,1420493953,hello
train_landmark_files/22343/1420795619.parquet,22343,1420795619,mom
train_landmark_files/18796/1420920309.parquet,18796,1420920309,hello
train_landmark_files/4718/1421544907.parquet,4718,1421544907,please
train_landmark_files/37055/142292689.parquet,37055,142292689,hello
train_landmark_files/22343/1423236462.parquet,22343,1423236462,happy
train_landmark_files/29302/1424311032.parquet,29302,1424311032,happy
train_landmark_files/62590/1424399823.parquet,62590,1424399823,later
train_landmark_files/36257/142594916.parquet,36257,142594916,mom
